user_id,item_id,recommend,sentiment_analysis,posted_year
76561197970982479,1250,True,2,2011
76561197970982479,22200,True,2,2011
76561197970982479,43110,True,2,2011
js41637,251610,True,2,2014
js41637,227300,True,2,2013
js41637,239030,True,2,2013
evcentric,248820,True,0,2014
evcentric,370360,True,2,2015
evcentric,237930,True,2,2014
evcentric,263360,True,1,2014
evcentric,107200,True,2,2014
evcentric,224500,True,2,2014
doctr,250320,True,2,2013
doctr,20920,True,2,2012
doctr,204100,True,2,2012
doctr,224600,True,2,2014
doctr,207610,True,2,2012
doctr,108710,True,2,2012
maplemage,211420,True,1,2014
maplemage,211820,True,2,2013
maplemage,730,True,2,2014
maplemage,204300,True,2,2013
Wackky,249130,True,1,2014
Wackky,207610,True,0,2012
Wackky,550,True,2,2012
Wackky,65800,True,2,2012
Wackky,220,True,2,2012
76561198079601835,730,True,1,2014
MeaTCompany,730,True,2,2014
76561198089393905,72850,True,0,2015
76561198089393905,440,True,1,2014
76561198156664158,252950,True,2,2014
76561198077246154,440,True,1,2014
76561198077246154,304930,True,1,2014
WeiEDKrSat,4000,True,1,2013
thequeenpanda,42910,True,1,2012
death-hunter,232090,True,2,2015
death-hunter,1250,True,2,2015
death-hunter,4000,True,2,2014
DJKamBer,304930,True,2,2014
DJKamBer,570,True,2,2013
DJKamBer,218620,True,2,2015
DJKamBer,224260,True,2,2013
DJKamBer,1250,True,0,2013
DJKamBer,440,True,2,2012
Rainbow-Dashie,730,True,2,2015
Rainbow-Dashie,440,True,2,2014
Rainbow-Dashie,49520,True,1,2014
76561198043472122,33440,False,1,2014
MarbleShrine,220200,True,2,2015
PPanther,211820,True,2,2014
devvonst,440,True,2,2014
devvonst,218740,True,2,2014
devvonst,550,True,2,2015
Fr0stedLine,220,True,2,2014
starkillershadow553,238090,True,2,2015
starkillershadow553,242130,True,0,2014
starkillershadow553,277430,True,2,2014
76561198058373434,8870,True,2,2015
76561198048353577,368230,True,2,2015
76561198048353577,4000,True,2,2014
76561198048353577,33930,True,2,2013
76561198066046412,359320,False,2,2015
76561198066046412,219640,True,2,2015
tru_mu_,287980,True,2,2015
76561198070565427,218620,True,1,2014
76561198070565427,208090,True,2,2015
76561198070565427,242700,True,1,2014
76561198070565427,570,False,1,2014
76561198070565427,224260,True,1,2014
SavageEeEe,221100,True,2,2015
76561198076909484,570,True,2,2014
KanadeTheNeko,331470,True,2,2014
KanadeTheNeko,4000,True,2,2014
Leaf_Light_Moscow,323370,True,2,2014
GoAwayZach,304930,True,2,2014
76561198054540475,12210,True,2,2015
76561198054540475,265210,True,1,2014
76561198054540475,48700,True,2,2014
76561198085547365,238460,True,2,2014
76561198085547365,34900,True,2,2014
76561198061252210,730,True,2,2015
OfficialShroomsy,113200,True,2,2013
boydeer,440,True,1,2014
boydeer,383080,False,1,2015
VVillis,213670,True,2,2015
76561198083226897,105600,True,1,2015
76561198075277292,730,True,0,2015
76561198075277292,570,True,2,2015
76561198028895010,231180,True,2,2013
76561198028895010,620,True,2,2012
76561198170198366,271290,True,2,2014
diego9031,4000,True,1,2014
diego9031,317360,True,1,2014
diego9031,223710,True,1,2015
diego9031,299360,True,1,2015
diego9031,322330,True,1,2015
diego9031,1250,True,2,2015
diego9031,12100,True,1,2015
diego9031,204360,True,2,2015
diego9031,440,True,1,2013
diego9031,224260,True,2,2013
jarrodtrim,440,True,2,2012
76561198078738103,304930,True,2,2014
76561198067936203,440,True,2,2015
76561198079770573,1840,True,1,2015
76561198087586464,440,True,2,2013
Derp-e,440,True,2,2015
76561198070194565,233250,True,1,2014
76561198070194565,449140,True,1,2014
76561198070194565,368730,True,1,2014
76561198070194565,246280,True,1,2014
76561198070194565,427270,True,2,2014
76561198070194565,397100,True,1,2014
76561198070194565,248570,True,1,2015
Rivtex,298630,True,1,2015
UTNerd24,244210,True,2,2014
UTNerd24,440,True,1,2015
UTNerd24,376920,True,2,2015
UTNerd24,257750,True,2,2015
UTNerd24,221910,True,1,2014
UTNerd24,2280,True,2,2013
sandwiches1,417860,False,1,2015
76561198138053270,218620,True,2,2014
lucaswerg,218620,True,2,2014
lucaswerg,222880,True,1,2014
Life-Of-Blu,377160,True,2,2015
Life-Of-Blu,211820,True,2,2013
CaptianAutismo,252490,True,0,2015
76561198075895633,440,True,2,2014
TheDropix101,242920,True,2,2014
kube134,251990,True,2,2014
iamthekingofbrowntown,344760,False,0,2015
iamthekingofbrowntown,252950,True,1,2015
iamthekingofbrowntown,236430,True,2,2014
iamthekingofbrowntown,399730,True,2,2015
MainScout,550,True,1,2014
yookobz,377160,True,2,2015
yookobz,219150,True,2,2013
Posiblydead,277430,True,2,2014
Posiblydead,239820,True,2,2014
Posiblydead,17410,True,2,2012
Mossy_Gaming,440,True,2,2015
76561198102421718,270550,True,2,2015
76561198102421718,274940,True,2,2015
76561198102421718,333930,True,2,2015
76561198087407319,440,True,1,2014
76561198056741844,730,True,1,2014
sad-commie,294100,True,0,2014
sad-commie,212070,True,0,2014
sad-commie,264140,True,1,2014
76561198030567998,332800,True,1,2014
76561198030567998,319630,True,2,2015
76561198030567998,6020,True,0,2015
76561198030567998,55230,True,2,2015
76561198030567998,32430,True,2,2014
76561198010674657,377160,False,2,2014
76561198010674657,440,True,0,2014
Coldaniel,35450,True,2,2015
Coldaniel,440,True,2,2014
Coldaniel,236390,True,2,2015
therealmorty,351570,True,2,2015
therealmorty,212680,True,0,2015
Berserklejerker,391540,True,2,2015
76561198061730629,550,True,0,2014
YoHuNz,440,True,1,2014
YoHuNz,570,True,1,2014
possessioniskey,72850,True,2,2015
possessioniskey,440,True,2,2015
possessioniskey,113400,True,2,2014
76561198093112529,440,True,2,2014
76561198060447950,200510,True,2,2015
whiteofwolfing,730,True,2,2015
sergarino,383080,True,2,2015
76561198081962345,200210,True,2,2014
76561198081962345,1250,True,2,2014
76561198073210139,304050,True,2,2014
Nozomikat,265610,True,2,2015
Nozomikat,264200,True,1,2014
Nozomikat,417860,True,2,2015
Nozomikat,333600,True,2,2015
Nozomikat,213670,True,2,2014
